BnB_BnB/1/finished,BnB_BnB/1,BnB_List/1,DP/1,DP_BnB/1
true,62096,62096,62096,62096
true,88363,88363,88363,88363
true,63032,63032,63032,63032
true,264418,264418,264418,264418
true,33984,33984,33984,33984
true,50089,50089,50089,50089
true,17680,17680,17680,17680
true,68236,68236,68236,68236
true,184148,184148,184148,184148
true,40542,40542,40542,40542
true,230485,230485,230485,230485
true,117154,117154,117154,117154
true,100700,100700,100700,100700
true,64360,64360,64360,64360
true,47725,47725,47725,47725
true,48321,48321,48321,48321
true,23361,23361,23361,23361
true,102522,102522,102522,102522
true,66619,66619,66619,66619
true,6408,6408,6408,6408
true,293748,293748,293748,293748
true,82860,82860,82860,82860
true,125944,125944,125944,125944
true,70876,70876,70876,70876
true,146880,146880,146880,146880
true,137676,137676,137676,137676
true,15960,15960,15960,15960
true,34680,34680,34680,34680
true,8682,8682,8682,8682
true,74196,74196,74196,74196
true,128479,128479,128479,128479
true,82478,82478,82478,82478
true,57510,57510,57510,57510
true,70608,70608,70608,70608
true,61842,61842,61842,61842
true,133770,133770,133770,133770
true,139860,139860,139860,139860
true,21833,21833,21833,21833
true,114699,114699,114699,114699
true,171339,171339,171339,171339
true,106035,106035,106035,106035
true,27372,27372,27372,27372
true,132175,132175,132175,132175
true,19072,19072,19072,19072
true,248994,248994,248994,248994
true,25524,25524,25524,25524
true,328219,328219,328219,328219
true,59820,59820,59820,59820
true,107250,107250,107250,107250
true,196383,196383,196383,196383
true,200767,200767,200767,200767
true,8393,8393,8393,8393
true,57307,57307,57307,57307
true,104904,104904,104904,104904
true,26819,26819,26819,26819
true,23585,23585,23585,23585
true,76428,76428,76428,76428
true,25861,25861,25861,25861
true,122024,122024,122024,122024
true,24872,24872,24872,24872
true,61642,61642,61642,61642
true,13050,13050,13050,13050
true,305136,305136,305136,305136
true,155924,155924,155924,155924
true,35190,35190,35190,35190
true,148478,148478,148478,148478
true,29265,29265,29265,29265
true,152160,152160,152160,152160
true,35696,35696,35696,35696
true,42112,42112,42112,42112
true,79686,79686,79686,79686
true,56050,56050,56050,56050
true,46200,46200,46200,46200
true,324324,324324,324324,324324
true,16380,16380,16380,16380
true,152908,152908,152908,152908
true,52472,52472,52472,52472
true,243550,243550,243550,243550
true,61230,61230,61230,61230
true,12960,12960,12960,12960
true,107772,107772,107772,107772
true,69184,69184,69184,69184
true,49550,49550,49550,49550
true,12593,12593,12593,12593
true,84308,84308,84308,84308
true,79560,79560,79560,79560
true,299065,299065,299065,299065
true,153321,153321,153321,153321
true,72720,72720,72720,72720
true,236376,236376,236376,236376
true,19476,19476,19476,19476
true,83524,83524,83524,83524
true,58984,58984,58984,58984
true,91698,91698,91698,91698
true,39797,39797,39797,39797
true,55741,55741,55741,55741
true,370728,370728,370728,370728
true,20244,20244,20244,20244
true,149983,149983,149983,149983
true,114140,114140,114140,114140
true,38778,38778,38778,38778
true,247525,247525,247525,247525
true,79120,79120,79120,79120
true,121974,121974,121974,121974
true,72615,72615,72615,72615
true,45252,45252,45252,45252
true,401897,401897,401897,401897
true,57778,57778,57778,57778
true,179750,179750,179750,179750
true,94159,94159,94159,94159
true,88352,88352,88352,88352
true,111600,111600,111600,111600
true,18194,18194,18194,18194
true,65421,65421,65421,65421
true,153272,153272,153272,153272
true,55377,55377,55377,55377
true,27968,27968,27968,27968
true,85475,85475,85475,85475
