BnB_BnB/1/finished,BnB_BnB/1,BnB_List/1,DP/1,DP_BnB/1,BnB_BnB/2/finished,BnB_BnB/2,BnB_List/2,DP/2,DP_BnB/2
true,506790,506790,506790,506790,true,304792,304792,304792,304792
true,132012,132012,132012,132012,true,87888,87888,87888,87888
true,142410,142410,142410,142410,true,86430,86430,86430,86430
true,94521,94521,94521,94521,true,94521,94521,94521,94521
true,80460,80460,80460,80460,true,76400,76400,76400,76400
true,217842,217842,217842,217842,true,191760,191760,191760,191760
true,199746,199746,199746,199746,true,128628,128628,128628,128628
true,49390,49390,49390,49390,true,49390,49390,49390,49390
true,80350,80350,80350,80350,true,62420,62420,62420,62420
true,90654,90654,90654,90654,true,60930,60930,60930,60930
true,163152,163152,163152,163152,true,163152,163152,163152,163152
true,149175,149175,149175,149175,true,93280,93280,93280,93280
true,66942,66942,66942,66942,true,66942,66942,66942,66942
true,493398,493398,493398,493398,true,279666,279666,279666,279666
true,166725,166725,166725,166725,true,146010,146010,146010,146010
true,26880,26880,26880,26880,true,26880,26880,26880,26880
true,285136,285136,285136,285136,true,161968,161968,161968,161968
true,56214,56214,56214,56214,true,46431,46431,46431,46431
true,139790,139790,139790,139790,true,129904,129904,129904,129904
true,73950,73950,73950,73950,true,54800,54800,54800,54800
true,163392,163392,163392,163392,true,163392,163392,163392,163392
true,39249,39249,39249,39249,true,32241,32241,32241,32241
true,329520,329520,329520,329520,true,221850,221850,221850,221850
true,334362,334362,334362,334362,true,210063,210063,210063,210063
true,249322,249322,249322,249322,true,163421,163421,163421,163421
true,61812,61812,61812,61812,true,61812,61812,61812,61812
true,326448,326448,326448,326448,true,267552,267552,267552,267552
true,235260,235260,235260,235260,true,185252,185252,185252,185252
true,265923,265923,265923,265923,true,208572,208572,208572,208572
true,86982,86982,86982,86982,true,85701,85701,85701,85701
true,109420,109420,109420,109420,true,100837,100837,100837,100837
true,256200,256200,256200,256200,true,164400,164400,164400,164400
true,257442,257442,257442,257442,true,199392,199392,199392,199392
true,130272,130272,130272,130272,true,100935,100935,100935,100935
true,36684,36684,36684,36684,true,36684,36684,36684,36684
true,156240,156240,156240,156240,true,156240,156240,156240,156240
true,144780,144780,144780,144780,true,100980,100980,100980,100980
true,67320,67320,67320,67320,true,67320,67320,67320,67320
true,557670,557670,557670,557670,true,314700,314700,314700,314700
true,67488,67488,67488,67488,true,67488,67488,67488,67488
true,76111,76111,76111,76111,true,41468,41468,41468,41468
true,128934,128934,128934,128934,true,97038,97038,97038,97038
true,213498,213498,213498,213498,true,143856,143856,143856,143856
true,88096,88096,88096,88096,true,64136,64136,64136,64136
true,70546,70546,70546,70546,true,49588,49588,49588,49588
true,123552,123552,123552,123552,true,123552,123552,123552,123552
true,214150,214150,214150,214150,true,200850,200850,200850,200850
true,106309,106309,106309,106309,true,66731,66731,66731,66731
true,42040,42040,42040,42040,true,42040,42040,42040,42040
true,162792,162792,162792,162792,true,158340,158340,158340,158340
true,96390,96390,96390,96390,true,73794,73794,73794,73794
true,329669,329669,329669,329669,true,282492,282492,282492,282492
true,244662,244662,244662,244662,true,165638,165638,165638,165638
true,17030,17030,17030,17030,true,17030,17030,17030,17030
true,184752,184752,184752,184752,true,184752,184752,184752,184752
true,166660,166660,166660,166660,true,132626,132626,132626,132626
true,218675,218675,218675,218675,true,198592,198592,198592,198592
true,89757,89757,89757,89757,true,58338,58338,58338,58338
true,117936,117936,117936,117936,true,117936,117936,117936,117936
true,452168,452168,452168,452168,true,328947,328947,328947,328947
true,93434,93434,93434,93434,true,72996,72996,72996,72996
true,148000,148000,148000,148000,true,121968,121968,121968,121968
true,142406,142406,142406,142406,true,115479,115479,115479,115479
true,71232,71232,71232,71232,true,52230,52230,52230,52230
true,56300,56300,56300,56300,true,56300,56300,56300,56300
true,106561,106561,106561,106561,true,106561,106561,106561,106561
true,211350,211350,211350,211350,true,211350,211350,211350,211350
true,231480,231480,231480,231480,true,198680,198680,198680,198680
true,186252,186252,186252,186252,true,186252,186252,186252,186252
true,302352,302352,302352,302352,true,233016,233016,233016,233016
true,185835,185835,185835,185835,true,185835,185835,185835,185835
true,402752,402752,402752,402752,true,339171,339171,339171,339171
true,664668,664668,664668,664668,true,415800,415800,415800,415800
true,132517,132517,132517,132517,true,110209,110209,110209,110209
true,283992,283992,283992,283992,true,229704,229704,229704,229704
true,68368,68368,68368,68368,true,64341,64341,64341,64341
true,75845,75845,75845,75845,true,49630,49630,49630,49630
true,34960,34960,34960,34960,true,34960,34960,34960,34960
true,335313,335313,335313,335313,true,227168,227168,227168,227168
true,118308,118308,118308,118308,true,98340,98340,98340,98340
true,158680,158680,158680,158680,true,139545,139545,139545,139545
true,40392,40392,40392,40392,true,40392,40392,40392,40392
true,152125,152125,152125,152125,true,152125,152125,152125,152125
true,96024,96024,96024,96024,true,96024,96024,96024,96024
true,25750,25750,25750,25750,true,25750,25750,25750,25750
true,137841,137841,137841,137841,true,137841,137841,137841,137841
true,126504,126504,126504,126504,true,105226,105226,105226,105226
true,184932,184932,184932,184932,true,160362,160362,160362,160362
true,122859,122859,122859,122859,true,122859,122859,122859,122859
true,259125,259125,259125,259125,true,227058,227058,227058,227058
true,296786,296786,296786,296786,true,191335,191335,191335,191335
true,91464,91464,91464,91464,true,91464,91464,91464,91464
true,71773,71773,71773,71773,true,71773,71773,71773,71773
true,707280,707280,707280,707280,true,524208,524208,524208,524208
true,57560,57560,57560,57560,true,45150,45150,45150,45150
true,101276,101276,101276,101276,true,101276,101276,101276,101276
true,27660,27660,27660,27660,true,27660,27660,27660,27660
true,189776,189776,189776,189776,true,183672,183672,183672,183672
true,346556,346556,346556,346556,true,302406,302406,302406,302406
true,69900,69900,69900,69900,true,41166,41166,41166,41166
true,227513,227513,227513,227513,true,182680,182680,182680,182680
true,42435,42435,42435,42435,true,35667,35667,35667,35667
true,254955,254955,254955,254955,true,147968,147968,147968,147968
true,129398,129398,129398,129398,true,129398,129398,129398,129398
true,89920,89920,89920,89920,true,89920,89920,89920,89920
true,161483,161483,161483,161483,true,161483,161483,161483,161483
true,223767,223767,223767,223767,true,223767,223767,223767,223767
true,158004,158004,158004,158004,true,158004,158004,158004,158004
true,160175,160175,160175,160175,true,112304,112304,112304,112304
true,220780,220780,220780,220780,true,220780,220780,220780,220780
true,414749,414749,414749,414749,true,314278,314278,314278,314278
true,191360,191360,191360,191360,true,143962,143962,143962,143962
true,35304,35304,35304,35304,true,35304,35304,35304,35304
true,151932,151932,151932,151932,true,108504,108504,108504,108504
true,247914,247914,247914,247914,true,171036,171036,171036,171036
true,198992,198992,198992,198992,true,137312,137312,137312,137312
true,497140,497140,497140,497140,true,301420,301420,301420,301420
true,154620,154620,154620,154620,true,154620,154620,154620,154620
true,158910,158910,158910,158910,true,141940,141940,141940,141940
true,172924,172924,172924,172924,true,172924,172924,172924,172924
true,97497,97497,97497,97497,true,61227,61227,61227,61227
true,95648,95648,95648,95648,true,95648,95648,95648,95648
true,42936,42936,42936,42936,true,42936,42936,42936,42936
true,177219,177219,177219,177219,true,177219,177219,177219,177219
true,300405,300405,300405,300405,true,170490,170490,170490,170490
true,198075,198075,198075,198075,true,198075,198075,198075,198075
true,187085,187085,187085,187085,true,125725,125725,125725,125725
true,163476,163476,163476,163476,true,163476,163476,163476,163476
true,130068,130068,130068,130068,true,130068,130068,130068,130068
true,125565,125565,125565,125565,true,93408,93408,93408,93408
true,112720,112720,112720,112720,true,112720,112720,112720,112720
true,558972,558972,558972,558972,true,358332,358332,358332,358332
true,197440,197440,197440,197440,true,114520,114520,114520,114520
true,217000,217000,217000,217000,true,217000,217000,217000,217000
true,80910,80910,80910,80910,true,50643,50643,50643,50643
true,184656,184656,184656,184656,true,144552,144552,144552,144552
true,284907,284907,284907,284907,true,199962,199962,199962,199962
true,92304,92304,92304,92304,true,71008,71008,71008,71008
true,93520,93520,93520,93520,true,63944,63944,63944,63944
true,71226,71226,71226,71226,true,42762,42762,42762,42762
true,118128,118128,118128,118128,true,118128,118128,118128,118128
true,297088,297088,297088,297088,true,246680,246680,246680,246680
true,43915,43915,43915,43915,true,30440,30440,30440,30440
true,117832,117832,117832,117832,true,117832,117832,117832,117832
true,274312,274312,274312,274312,true,274312,274312,274312,274312
true,199472,199472,199472,199472,true,199472,199472,199472,199472
true,349150,349150,349150,349150,true,285000,285000,285000,285000
true,181130,181130,181130,181130,true,146640,146640,146640,146640
true,251680,251680,251680,251680,true,251680,251680,251680,251680
true,158906,158906,158906,158906,true,158906,158906,158906,158906
true,442800,442800,442800,442800,true,273072,273072,273072,273072
true,64482,64482,64482,64482,true,38598,38598,38598,38598
true,204330,204330,204330,204330,true,148491,148491,148491,148491
true,103806,103806,103806,103806,true,103398,103398,103398,103398
true,219869,219869,219869,219869,true,123734,123734,123734,123734
true,111672,111672,111672,111672,true,70616,70616,70616,70616
true,304635,304635,304635,304635,true,304635,304635,304635,304635
true,473606,473606,473606,473606,true,422643,422643,422643,422643
true,327969,327969,327969,327969,true,265147,265147,265147,265147
true,97392,97392,97392,97392,true,78024,78024,78024,78024
true,109472,109472,109472,109472,true,109472,109472,109472,109472
true,297440,297440,297440,297440,true,273818,273818,273818,273818
true,41328,41328,41328,41328,true,29424,29424,29424,29424
true,135500,135500,135500,135500,true,77110,77110,77110,77110
true,313992,313992,313992,313992,true,313992,313992,313992,313992
true,61445,61445,61445,61445,true,61445,61445,61445,61445
true,141640,141640,141640,141640,true,78890,78890,78890,78890
true,198180,198180,198180,198180,true,126632,126632,126632,126632
true,52850,52850,52850,52850,true,31810,31810,31810,31810
true,361526,361526,361526,361526,true,209858,209858,209858,209858
true,56915,56915,56915,56915,true,51160,51160,51160,51160
true,64656,64656,64656,64656,true,64656,64656,64656,64656
true,289728,289728,289728,289728,true,259644,259644,259644,259644
true,132012,132012,132012,132012,true,132012,132012,132012,132012
true,397982,397982,397982,397982,true,397982,397982,397982,397982
true,122661,122661,122661,122661,true,122661,122661,122661,122661
true,86412,86412,86412,86412,true,86412,86412,86412,86412
true,52083,52083,52083,52083,true,30258,30258,30258,30258
true,17765,17765,17765,17765,true,17316,17316,17316,17316
true,143546,143546,143546,143546,true,115700,115700,115700,115700
true,127534,127534,127534,127534,true,127534,127534,127534,127534
true,533710,533710,533710,533710,true,409678,409678,409678,409678
true,116842,116842,116842,116842,true,83281,83281,83281,83281
true,314012,314012,314012,314012,true,314012,314012,314012,314012
true,125830,125830,125830,125830,true,125830,125830,125830,125830
true,216972,216972,216972,216972,true,182754,182754,182754,182754
true,110684,110684,110684,110684,true,108892,108892,108892,108892
true,89532,89532,89532,89532,true,74736,74736,74736,74736
true,39335,39335,39335,39335,true,34195,34195,34195,34195
true,121696,121696,121696,121696,true,121696,121696,121696,121696
true,73280,73280,73280,73280,true,73280,73280,73280,73280
true,213642,213642,213642,213642,true,208593,208593,208593,208593
true,68748,68748,68748,68748,true,68748,68748,68748,68748
true,131274,131274,131274,131274,true,94248,94248,94248,94248
true,58410,58410,58410,58410,true,58410,58410,58410,58410
true,66003,66003,66003,66003,true,63763,63763,63763,63763
true,163020,163020,163020,163020,true,84238,84238,84238,84238
true,342288,342288,342288,342288,true,278892,278892,278892,278892
true,69530,69530,69530,69530,true,54950,54950,54950,54950
true,136060,136060,136060,136060,true,136060,136060,136060,136060
true,203901,203901,203901,203901,true,203901,203901,203901,203901
true,85579,85579,85579,85579,true,85579,85579,85579,85579
true,272986,272986,272986,272986,true,240584,240584,240584,240584
true,118560,118560,118560,118560,true,114384,114384,114384,114384
true,76941,76941,76941,76941,true,76941,76941,76941,76941
true,81056,81056,81056,81056,true,81056,81056,81056,81056
true,555408,555408,555408,555408,true,311276,311276,311276,311276
true,154921,154921,154921,154921,true,154921,154921,154921,154921
true,153706,153706,153706,153706,true,107730,107730,107730,107730
true,175044,175044,175044,175044,true,175044,175044,175044,175044
true,78040,78040,78040,78040,true,54340,54340,54340,54340
true,321516,321516,321516,321516,true,296884,296884,296884,296884
true,224490,224490,224490,224490,true,129360,129360,129360,129360
true,84035,84035,84035,84035,true,54635,54635,54635,54635
true,60585,60585,60585,60585,true,60585,60585,60585,60585
true,51700,51700,51700,51700,true,51700,51700,51700,51700
true,194464,194464,194464,194464,true,128656,128656,128656,128656
true,148660,148660,148660,148660,true,148660,148660,148660,148660
true,59760,59760,59760,59760,true,59760,59760,59760,59760
true,73891,73891,73891,73891,true,73891,73891,73891,73891
true,275025,275025,275025,275025,true,273448,273448,273448,273448
true,116446,116446,116446,116446,true,72633,72633,72633,72633
true,147696,147696,147696,147696,true,98005,98005,98005,98005
true,575712,575712,575712,575712,true,391176,391176,391176,391176
true,115620,115620,115620,115620,true,89040,89040,89040,89040
true,550963,550963,550963,550963,true,353400,353400,353400,353400
true,155508,155508,155508,155508,true,124416,124416,124416,124416
true,92912,92912,92912,92912,true,62160,62160,62160,62160
true,62520,62520,62520,62520,true,62520,62520,62520,62520
true,54020,54020,54020,54020,true,38890,38890,38890,38890
true,199672,199672,199672,199672,true,187220,187220,187220,187220
true,383211,383211,383211,383211,true,281372,281372,281372,281372
true,55341,55341,55341,55341,true,55341,55341,55341,55341
