BnB_BnB/1/finished,BnB_BnB/1,BnB_List/1,DP/1,DP_BnB/1,BnB_BnB/2/finished,BnB_BnB/2,BnB_List/2,DP/2,DP_BnB/2,BnB_BnB/3/finished,BnB_BnB/3,BnB_List/3,DP/3,DP_BnB/3
true,92275,92275,92275,92275,true,55175,55175,55175,55175,true,55048,55048,55048,55048
true,210952,210952,210952,210952,true,134013,134013,141093,141093,true,133152,133152,133152,133152
true,103170,103170,103170,103170,true,97920,97920,97920,97920,true,97920,97920,97920,97920
true,207376,207376,207376,207376,true,207376,207376,207376,207376,true,207376,207376,207376,207376
true,150840,150840,150840,150840,true,150840,150840,150840,150840,true,150840,150840,150840,150840
true,130098,130098,130098,130098,true,115800,115800,115800,115800,true,115800,115800,115800,115800
true,266703,266703,266703,266703,true,171381,171381,216923,216923,true,171381,171381,171381,171381
true,638957,638957,638957,638957,true,448804,448804,448804,448804,true,345972,345972,345972,345972
true,120491,120491,120491,120491,true,114261,114261,114261,114261,true,114261,114261,114261,114261
true,177200,177200,177200,177200,true,111050,111050,111050,111050,true,111050,111050,111050,111050
true,669346,669346,669346,669346,true,450882,450882,480226,480226,true,408930,408930,408930,408930
true,74310,74310,74310,74310,true,64355,64355,64355,64355,true,64355,64355,64355,64355
true,109866,109866,109866,109866,true,60900,60900,60900,60900,true,60900,60900,60900,60900
true,288704,288704,288704,288704,true,174976,174976,174976,174976,true,174976,174976,174976,174976
true,269385,269385,269385,269385,true,177720,177720,177720,177720,true,177720,177720,177720,177720
true,136350,136350,136350,136350,true,100473,100473,107619,107619,true,94479,94479,94479,94479
true,207280,207280,207280,207280,true,134910,134910,134910,134910,true,134910,134910,134910,134910
true,535032,535032,535032,535032,true,470074,470074,470074,470074,true,470074,470074,470074,470074
true,309672,309672,309672,309672,true,208944,208944,208944,208944,true,208944,208944,208944,208944
true,307879,307879,307879,307879,true,198484,198484,198484,198484,true,198484,198484,198484,198484
true,252070,252070,252070,252070,true,132561,132561,132561,132561,true,130853,130853,130853,130853
true,230316,230316,230316,230316,true,175049,175049,175049,175049,true,175049,175049,175049,175049
true,243671,243671,243671,243671,true,152640,152640,152640,152640,true,152640,152640,152640,152640
true,151410,151410,151410,151410,true,88627,88627,88627,88627,true,79919,79919,79919,79919
true,247403,247403,247403,247403,true,161265,161265,161265,161265,true,161265,161265,161265,161265
true,505379,505379,505379,505379,true,375049,375049,404604,404604,true,375049,375049,375049,375049
true,173536,173536,173536,173536,true,173536,173536,173536,173536,true,173536,173536,173536,173536
true,370345,370345,370345,370345,true,272675,272675,272675,272675,true,272675,272675,272675,272675
true,430580,430580,430580,430580,true,273640,273640,273640,273640,true,260078,260078,260078,260078
true,127996,127996,127996,127996,true,91146,91146,101607,101607,true,91146,91146,91146,91146
true,73591,73591,73591,73591,true,68901,68901,68901,68901,true,68901,68901,68901,68901
true,500302,500302,500302,500302,true,357492,357492,357492,357492,true,357492,357492,357492,357492
true,124120,124120,124120,124120,true,102912,102912,102912,102912,true,102912,102912,102912,102912
true,357960,357960,357960,357960,true,330885,330885,330885,330885,true,330885,330885,330885,330885
true,123860,123860,123860,123860,true,76040,76040,76040,76040,true,76040,76040,76040,76040
true,488157,488157,488157,488157,true,313184,313184,315868,315868,true,305664,305664,305664,305664
true,198423,198423,198423,198423,true,168939,168939,168939,168939,true,168939,168939,168939,168939
true,234702,234702,234702,234702,true,159489,159489,185453,185453,true,153969,153969,153969,153969
true,272113,272113,272113,272113,true,218523,218523,218523,218523,true,218523,218523,218523,218523
true,122913,122913,122913,122913,true,75355,75355,75355,75355,true,75355,75355,75355,75355
true,242664,242664,242664,242664,true,160425,160425,160425,160425,true,160425,160425,160425,160425
true,122948,122948,122948,122948,true,122948,122948,122948,122948,true,122948,122948,122948,122948
true,293293,293293,293293,293293,true,246294,246294,246294,246294,true,246294,246294,246294,246294
true,216762,216762,216762,216762,true,139555,139555,139555,139555,true,119366,119366,119366,119366
true,436497,436497,436497,436497,true,266742,266742,266742,266742,true,266464,266464,266464,266464
true,783584,783584,783584,783584,true,512316,512316,528321,528321,true,441936,441936,441936,441936
true,144664,144664,144664,144664,true,104544,104544,104544,104544,true,104544,104544,104544,104544
true,367472,367472,367472,367472,true,251076,251076,251076,251076,true,178521,178521,178521,178521
true,125496,125496,125496,125496,true,94800,94800,94800,94800,true,94800,94800,94800,94800
true,136374,136374,136374,136374,true,134096,134096,134096,134096,true,134096,134096,134096,134096
true,104005,104005,104005,104005,true,55620,55620,55620,55620,true,55620,55620,55620,55620
true,91585,91585,91585,91585,true,75290,75290,75290,75290,true,75290,75290,75290,75290
true,74570,74570,74570,74570,true,65420,65420,65420,65420,true,65420,65420,65420,65420
true,159560,159560,159560,159560,true,144200,144200,144200,144200,true,144200,144200,144200,144200
true,118104,118104,118104,118104,true,64638,64638,64638,64638,true,64638,64638,64638,64638
true,121940,121940,121940,121940,true,66318,66318,66318,66318,true,66318,66318,66318,66318
true,178188,178188,178188,178188,true,136640,136640,136640,136640,true,136640,136640,136640,136640
true,147280,147280,147280,147280,true,95520,95520,104342,104342,true,91494,91494,91494,91494
true,358320,358320,358320,358320,true,202062,202062,202062,202062,true,187200,187200,187200,187200
true,195636,195636,195636,195636,true,120708,120708,120708,120708,true,120708,120708,120708,120708
true,272130,272130,272130,272130,true,170325,170325,170325,170325,true,120615,120615,120615,120615
true,181815,181815,181815,181815,true,181815,181815,181815,181815,true,181815,181815,181815,181815
true,450051,450051,450051,450051,true,262172,262172,294099,294099,true,260538,260538,260538,260538
true,92375,92375,92375,92375,true,61155,61155,61155,61155,true,61155,61155,61155,61155
true,86290,86290,86290,86290,true,49975,49975,49975,49975,true,37845,37845,37845,37845
true,545171,545171,545171,545171,true,320102,320102,320102,320102,true,272629,272629,272629,272629
true,116530,116530,116530,116530,true,116530,116530,116530,116530,true,116530,116530,116530,116530
true,206688,206688,206688,206688,true,130640,130640,143604,143604,true,126480,126480,126480,126480
true,241358,241358,241358,241358,true,154245,154245,154245,154245,true,154245,154245,154245,154245
true,99528,99528,99528,99528,true,74670,74670,79032,79032,true,60084,60084,60084,60084
true,444025,444025,444025,444025,true,300762,300762,300762,300762,true,300762,300762,300762,300762
true,478233,478233,478233,478233,true,293103,293103,293103,293103,true,293103,293103,293103,293103
true,102310,102310,102310,102310,true,102310,102310,102310,102310,true,102310,102310,102310,102310
true,113172,113172,113172,113172,true,77040,77040,89160,89160,true,77040,77040,77040,77040
true,196116,196116,196116,196116,true,126204,126204,126204,126204,true,126204,126204,126204,126204
true,223363,223363,223363,223363,true,123454,123454,123454,123454,true,117249,117249,117249,117249
true,209200,209200,209200,209200,true,117640,117640,117640,117640,true,117640,117640,117640,117640
true,661837,661837,661837,661837,true,394072,394072,394072,394072,true,355632,355632,355632,355632
true,156090,156090,156090,156090,true,97194,97194,97194,97194,true,97194,97194,97194,97194
true,204420,204420,204420,204420,true,161475,161475,167775,167775,true,161475,161475,161475,161475
true,362852,362852,362852,362852,true,357168,357168,357168,357168,true,357168,357168,357168,357168
true,91504,91504,91504,91504,true,62153,62153,62153,62153,true,62153,62153,62153,62153
true,136353,136353,136353,136353,true,96540,96540,101913,101913,true,96540,96540,96540,96540
true,131408,131408,131408,131408,true,97376,97376,97376,97376,true,97376,97376,97376,97376
true,633042,633042,633042,633042,true,416518,416518,416518,416518,true,332044,332044,332044,332044
true,271388,271388,271388,271388,true,199758,199758,205439,205439,true,152832,152832,152832,152832
true,517704,517704,517704,517704,true,325896,325896,325896,325896,true,279972,279972,279972,279972
true,260865,260865,260865,260865,true,185421,185421,199839,199839,true,179118,179118,179118,179118
true,343134,343134,343134,343134,true,218520,218520,218520,218520,true,175914,175914,175914,175914
true,208670,208670,208670,208670,true,152100,152100,152100,152100,true,152100,152100,152100,152100
true,70861,70861,70861,70861,true,47607,47607,47607,47607,true,47607,47607,47607,47607
true,159610,159610,159610,159610,true,112279,112279,123035,123035,true,99220,99220,99220,99220
true,47295,47295,47295,47295,true,42666,42666,42666,42666,true,42666,42666,42666,42666
true,118935,118935,118935,118935,true,86630,86630,86630,86630,true,85518,85518,85518,85518
true,120670,120670,120670,120670,true,85866,85866,85866,85866,true,85866,85866,85866,85866
true,46722,46722,46722,46722,true,28707,28707,30852,30852,true,24864,24864,24864,24864
true,130845,130845,130845,130845,true,82918,82918,82918,82918,true,82918,82918,82918,82918
true,321572,321572,321572,321572,true,253840,253840,253840,253840,true,253840,253840,253840,253840
true,247115,247115,247115,247115,true,186428,186428,186428,186428,true,186428,186428,186428,186428
true,121095,121095,121095,121095,true,121095,121095,121095,121095,true,121095,121095,121095,121095
true,103888,103888,103888,103888,true,73496,73496,73496,73496,true,73496,73496,73496,73496
true,522836,522836,522836,522836,true,336288,336288,336288,336288,true,336288,336288,336288,336288
true,305046,305046,305046,305046,true,193326,193326,193326,193326,true,166680,166680,166680,166680
true,62592,62592,62592,62592,true,46673,46673,46673,46673,true,46673,46673,46673,46673
true,569016,569016,569016,569016,true,410326,410326,440734,440734,true,410326,410326,410326,410326
true,250272,250272,250272,250272,true,157872,157872,157872,157872,true,94974,94974,94974,94974
true,124896,124896,124896,124896,true,73656,73656,87240,87240,true,63120,63120,63120,63120
true,122211,122211,122211,122211,true,62703,62703,62703,62703,true,62703,62703,62703,62703
true,147680,147680,147680,147680,true,90909,90909,94842,94842,true,71513,71513,71513,71513
true,137110,137110,137110,137110,true,117090,117090,117090,117090,true,117090,117090,117090,117090
true,266896,266896,266896,266896,true,188160,188160,188160,188160,true,159137,159137,159137,159137
true,189435,189435,189435,189435,true,163395,163395,163395,163395,true,163395,163395,163395,163395
true,124180,124180,124180,124180,true,80920,80920,80920,80920,true,80920,80920,80920,80920
true,253860,253860,253860,253860,true,136920,136920,136920,136920,true,128325,128325,128325,128325
true,100686,100686,100686,100686,true,100686,100686,100686,100686,true,100686,100686,100686,100686
true,204650,204650,204650,204650,true,130170,130170,130170,130170,true,122808,122808,122808,122808
true,734454,734454,734454,734454,true,453473,453473,453473,453473,true,350302,350302,350302,350302
true,135660,135660,135660,135660,true,88512,88512,88512,88512,true,49966,49966,49966,49966
true,64662,64662,64662,64662,true,36498,36498,36498,36498,true,28668,28668,28668,28668
true,151974,151974,151974,151974,true,118323,118323,118323,118323,true,118323,118323,118323,118323
true,139380,139380,139380,139380,true,100074,100074,100074,100074,true,100074,100074,100074,100074
true,377519,377519,377519,377519,true,223635,223635,272136,272136,true,177004,177004,177004,177004
true,389300,389300,389300,389300,true,254629,254629,281468,281468,true,219648,219648,219648,219648
true,264752,264752,264752,264752,true,149851,149851,152232,152232,true,140308,140308,140308,140308
true,108605,108605,108605,108605,true,81739,81739,81739,81739,true,81739,81739,81739,81739
true,63740,63740,63740,63740,true,37465,37465,37465,37465,true,37465,37465,37465,37465
true,261090,261090,261090,261090,true,149520,149520,149520,149520,true,149520,149520,149520,149520
true,228372,228372,228372,228372,true,144592,144592,144592,144592,true,144592,144592,144592,144592
true,537210,537210,537210,537210,true,326220,326220,326220,326220,true,265170,265170,265170,265170
true,273824,273824,273824,273824,true,172016,172016,183884,183884,true,149800,149800,149800,149800
true,32905,32905,32905,32905,true,24505,24505,24505,24505,true,24505,24505,24505,24505
true,357616,357616,357616,357616,true,249072,249072,261520,261520,true,209440,209440,209440,209440
true,341481,341481,341481,341481,true,251172,251172,251172,251172,true,251172,251172,251172,251172
true,156058,156058,156058,156058,true,89894,89894,89894,89894,true,89894,89894,89894,89894
true,289242,289242,289242,289242,true,252090,252090,252090,252090,true,252090,252090,252090,252090
true,83808,83808,83808,83808,true,83808,83808,83808,83808,true,83808,83808,83808,83808
true,107030,107030,107030,107030,true,63686,63686,78575,78575,true,62804,62804,62804,62804
true,778350,778350,778350,778350,true,569970,569970,569970,569970,true,438930,438930,438930,438930
true,266156,266156,266156,266156,true,160919,160919,160919,160919,true,160919,160919,160919,160919
true,84584,84584,84584,84584,true,47440,47440,53016,53016,true,47440,47440,47440,47440
true,119118,119118,119118,119118,true,105804,105804,105804,105804,true,105804,105804,105804,105804
true,759481,759481,759481,759481,true,562136,562136,562136,562136,true,456912,456912,456912,456912
true,117888,117888,117888,117888,true,80988,80988,80988,80988,true,53344,53344,53344,53344
true,148428,148428,148428,148428,true,148428,148428,148428,148428,true,148428,148428,148428,148428
true,393530,393530,393530,393530,true,272964,272964,272964,272964,true,256009,256009,256009,256009
true,237754,237754,237754,237754,true,139348,139348,139348,139348,true,130144,130144,130144,130144
true,437240,437240,437240,437240,true,246480,246480,246480,246480,true,246480,246480,246480,246480
true,342420,342420,342420,342420,true,279200,279200,279200,279200,true,260537,260537,260537,260537
true,423339,423339,423339,423339,true,260319,260319,260319,260319,true,209506,209506,209506,209506
true,263440,263440,263440,263440,true,166150,166150,166150,166150,true,142506,142506,142506,142506
true,354365,354365,354365,354365,true,226253,226253,226253,226253,true,219402,219402,219402,219402
true,403168,403168,403168,403168,true,282435,282435,282435,282435,true,273762,273762,273762,273762
true,74335,74335,74335,74335,true,64325,64325,64325,64325,true,64325,64325,64325,64325
true,336754,336754,336754,336754,true,280522,280522,280522,280522,true,280522,280522,280522,280522
true,68400,68400,68400,68400,true,48260,48260,48260,48260,true,48260,48260,48260,48260
true,375060,375060,375060,375060,true,338333,338333,338333,338333,true,338333,338333,338333,338333
true,88155,88155,88155,88155,true,88155,88155,88155,88155,true,88155,88155,88155,88155
true,249510,249510,249510,249510,true,162405,162405,162405,162405,true,162405,162405,162405,162405
true,79200,79200,79200,79200,true,46620,46620,55160,55160,true,43225,43225,43225,43225
true,269895,269895,269895,269895,true,235733,235733,235733,235733,true,235733,235733,235733,235733
true,421896,421896,421896,421896,true,261268,261268,261268,261268,true,261268,261268,261268,261268
true,503010,503010,503010,503010,true,297597,297597,297597,297597,true,236808,236808,236808,236808
true,452400,452400,452400,452400,true,262366,262366,262366,262366,true,262366,262366,262366,262366
true,270408,270408,270408,270408,true,167250,167250,192804,192804,true,147360,147360,147360,147360
true,88864,88864,88864,88864,true,76496,76496,82672,82672,true,76496,76496,76496,76496
true,72366,72366,72366,72366,true,52914,52914,52914,52914,true,52914,52914,52914,52914
true,324891,324891,324891,324891,true,265505,265505,265505,265505,true,219368,219368,219368,219368
true,154968,154968,154968,154968,true,147112,147112,147112,147112,true,147112,147112,147112,147112
true,242947,242947,242947,242947,true,135847,135847,135847,135847,true,135847,135847,135847,135847
