BnB_BnB/1/finished,BnB_BnB/1,BnB_List/1,DP/1,DP_BnB/1,BnB_BnB/2/finished,BnB_BnB/2,BnB_List/2,DP/2,DP_BnB/2,BnB_BnB/3/finished,BnB_BnB/3,BnB_List/3,DP/3,DP_BnB/3,BnB_BnB/4/finished,BnB_BnB/4,BnB_List/4,DP/4,DP_BnB/4
true,196560,196560,196560,196560,true,108496,108496,108496,108496,true,88536,88536,89216,89216,true,83264,83264,83264,83264
true,707173,707173,707173,707173,true,390693,390693,390693,390693,true,333434,333434,333434,333434,true,322344,322344,322344,322344
true,118089,118089,118089,118089,true,105819,105819,105819,105819,true,105819,105819,105819,105819,true,105819,105819,105819,105819
true,316365,316365,316365,316365,true,190324,190324,226688,226688,true,151194,151194,151194,151194,true,125620,125620,125620,125620
true,92500,92500,92500,92500,true,55143,55143,55143,55143,true,55143,55143,55143,55143,true,55143,55143,55143,55143
true,387604,387604,387604,387604,true,233938,233938,254170,254170,true,157815,157815,157815,157815,true,156420,156420,156420,156420
true,517945,517945,517945,517945,true,285747,285747,304751,304751,true,240320,240320,282324,282324,true,199330,199330,199330,199330
true,350838,350838,350838,350838,true,224560,224560,266916,266916,true,199242,199242,209466,209466,true,185776,185776,185776,185776
true,335998,335998,335998,335998,true,274690,274690,274690,274690,true,274690,274690,274690,274690,true,274690,274690,274690,274690
true,337372,337372,337372,337372,true,196000,196000,196000,196000,true,196000,196000,196000,196000,true,196000,196000,196000,196000
true,147294,147294,147294,147294,true,147294,147294,147294,147294,true,147294,147294,147294,147294,true,147294,147294,147294,147294
true,277541,277541,277541,277541,true,198450,198450,198450,198450,true,198450,198450,198450,198450,true,198450,198450,198450,198450
true,458298,458298,458298,458298,true,303470,303470,329958,329958,true,280075,280075,280075,280075,true,280075,280075,280075,280075
true,532722,532722,532722,532722,true,321575,321575,321575,321575,true,232465,232465,232465,232465,true,232465,232465,232465,232465
true,269456,269456,269456,269456,true,199793,199793,199793,199793,true,184296,184296,184296,184296,true,184296,184296,184296,184296
true,434931,434931,434931,434931,true,239085,239085,239085,239085,true,239085,239085,239085,239085,true,239085,239085,239085,239085
true,345165,345165,345165,345165,true,267150,267150,267150,267150,true,205856,205856,205856,205856,true,205856,205856,205856,205856
true,166734,166734,166734,166734,true,112998,112998,112998,112998,true,112998,112998,112998,112998,true,112998,112998,112998,112998
true,455064,455064,455064,455064,true,285954,285954,285954,285954,true,228766,228766,228766,228766,true,228766,228766,228766,228766
true,147917,147917,147917,147917,true,105700,105700,107758,107758,true,83258,83258,83258,83258,true,83258,83258,83258,83258
true,128178,128178,128178,128178,true,128178,128178,128178,128178,true,128178,128178,128178,128178,true,128178,128178,128178,128178
true,213808,213808,213808,213808,true,149480,149480,149480,149480,true,149454,149454,149454,149454,true,149454,149454,149454,149454
true,128625,128625,128625,128625,true,101305,101305,101305,101305,true,101305,101305,101305,101305,true,101305,101305,101305,101305
true,457800,457800,457800,457800,true,309150,309150,309150,309150,true,219414,219414,219414,219414,true,217980,217980,217980,217980
true,213912,213912,213912,213912,true,155208,155208,155208,155208,true,155208,155208,155208,155208,true,155208,155208,155208,155208
