BnB_BnB/1/finished,BnB_BnB/1,BnB_List/1,DP/1,DP_BnB/1,BnB_BnB/2/finished,BnB_BnB/2,BnB_List/2,DP/2,DP_BnB/2,BnB_BnB/3/finished,BnB_BnB/3,BnB_List/3,DP/3,DP_BnB/3,BnB_BnB/4/finished,BnB_BnB/4,BnB_List/4,DP/4,DP_BnB/4,BnB_BnB/5/finished,BnB_BnB/5,BnB_List/5,DP/5,DP_BnB/5
true,263488,263488,263488,263488,true,263488,263488,263488,263488,true,263488,263488,263488,263488,true,263488,263488,263488,263488,true,263488,263488,263488,263488
true,145232,145232,145232,145232,true,128736,128736,128736,128736,true,128736,128736,128736,128736,true,128736,128736,128736,128736,true,128736,128736,128736,128736
true,164628,164628,164628,164628,true,157860,157860,157860,157860,true,157860,157860,157860,157860,true,157860,157860,157860,157860,true,157860,157860,157860,157860
true,255894,255894,255894,255894,true,166848,166848,166848,166848,true,147810,147810,147810,147810,true,147810,147810,147810,147810,true,147810,147810,147810,147810
true,265280,265280,265280,265280,true,187980,187980,223760,223760,true,174904,174904,179344,179344,true,174904,174904,174904,174904,true,174904,174904,174904,174904
true,463806,463806,463806,463806,true,321314,321314,321314,321314,true,321314,321314,321314,321314,true,321314,321314,321314,321314,true,321314,321314,321314,321314
true,144110,144110,144110,144110,true,81590,81590,82430,82430,true,81590,81590,81590,81590,true,81590,81590,81590,81590,true,81590,81590,81590,81590
true,429348,429348,429348,429348,true,221496,221496,221496,221496,true,221496,221496,221496,221496,true,221496,221496,221496,221496,true,221496,221496,221496,221496
true,200440,200440,200440,200440,true,120755,120755,128475,128475,true,93605,98530,98530,98530,true,80634,80634,80634,80634,true,80634,80634,80634,80634
true,636016,636016,636016,636016,true,329152,329152,329152,329152,true,329152,329152,329152,329152,true,329152,329152,329152,329152,true,329152,329152,329152,329152
true,434048,434048,434048,434048,true,255952,255952,255952,255952,true,218866,218866,218866,218866,true,198928,198928,198928,198928,true,198928,198928,198928,198928
true,224224,224224,224224,224224,true,130768,130768,161546,161546,true,105770,111364,111364,111364,true,85035,85035,85035,85035,true,85035,85035,85035,85035
true,362945,362945,362945,362945,true,248734,248734,284069,284069,true,217703,217703,243172,243172,true,217703,217703,217703,217703,true,217703,217703,217703,217703
true,66510,66510,66510,66510,true,39926,39926,39926,39926,true,35466,35466,35466,35466,true,35466,35466,35466,35466,true,35466,35466,35466,35466
true,294700,294700,294700,294700,true,159432,161170,189908,189908,true,119744,119744,119744,119744,true,119744,119744,119744,119744,true,119744,119744,119744,119744
