BnB_BnB/1/finished,BnB_BnB/1,BnB_List/1,DP/1,DP_BnB/1,BnB_BnB/2/finished,BnB_BnB/2,BnB_List/2,DP/2,DP_BnB/2,BnB_BnB/3/finished,BnB_BnB/3,BnB_List/3,DP/3,DP_BnB/3,BnB_BnB/4/finished,BnB_BnB/4,BnB_List/4,DP/4,DP_BnB/4,BnB_BnB/5/finished,BnB_BnB/5,BnB_List/5,DP/5,DP_BnB/5,BnB_BnB/6/finished,BnB_BnB/6,BnB_List/6,DP/6,DP_BnB/6
true,383903,383903,383903,383903,true,251095,251095,251095,251095,true,251095,251095,251095,251095,true,251095,251095,251095,251095,true,251095,251095,251095,251095,true,251095,251095,251095,251095
true,308844,308844,308844,308844,true,165506,165506,167796,167796,true,137457,137457,143208,143208,true,137457,137457,137457,137457,true,137457,137457,137457,137457,true,137457,137457,137457,137457
true,478944,478944,478944,478944,true,307488,307488,325096,325096,true,296432,296432,303576,303576,true,296432,296432,296432,296432,true,296432,296432,296432,296432,true,296432,296432,296432,296432
true,332016,332016,332016,332016,true,233528,233528,233528,233528,true,197085,197085,197085,197085,true,168272,168272,168272,168272,true,168272,168272,168272,168272,true,168272,168272,168272,168272
true,273088,273088,273088,273088,true,146536,146536,146536,146536,true,128576,128576,128576,128576,true,128576,128576,128576,128576,true,128576,128576,128576,128576,true,128576,128576,128576,128576
true,226835,226835,226835,226835,true,119770,119770,119770,119770,true,119770,119770,119770,119770,true,119770,119770,119770,119770,true,119770,119770,119770,119770,true,119770,119770,119770,119770
true,455220,455220,455220,455220,true,344052,344052,372432,372432,true,280164,280164,289092,289092,true,228396,228396,228396,228396,true,216675,216675,216675,216675,true,216675,216675,216675,216675
true,326652,326652,326652,326652,true,168336,168336,168336,168336,true,166320,166320,166320,166320,true,149388,149388,149388,149388,true,132756,132756,132756,132756,true,132756,132756,132756,132756
true,136518,136518,136518,136518,true,73836,73836,80376,80376,true,61290,62880,62880,62880,true,61290,61290,61290,61290,true,61290,61290,61290,61290,true,61290,61290,61290,61290
true,396810,396810,396810,396810,true,282690,282690,282690,282690,true,282690,282690,282690,282690,true,282690,282690,282690,282690,true,282690,282690,282690,282690,true,282690,282690,282690,282690
true,209706,209706,209706,209706,true,135702,135702,135702,135702,true,116610,116610,116610,116610,true,116610,116610,116610,116610,true,116610,116610,116610,116610,true,116610,116610,116610,116610
true,300726,300726,300726,300726,true,208643,208643,237105,237105,true,208643,208643,208643,208643,true,208643,208643,208643,208643,true,208643,208643,208643,208643,true,208643,208643,208643,208643
true,295520,295520,295520,295520,true,193411,199688,199688,199688,true,156288,156288,156288,156288,true,156288,156288,156288,156288,true,156288,156288,156288,156288,true,156288,156288,156288,156288
true,648318,648318,648318,648318,true,356934,356934,381368,381368,true,278806,280358,280358,280358,true,257131,257131,273052,273052,true,215384,215384,215384,215384,true,215384,215384,215384,215384
true,412126,412126,412126,412126,true,240185,240185,240185,240185,true,215059,215059,215059,215059,true,215059,215059,215059,215059,true,215059,215059,215059,215059,true,215059,215059,215059,215059
true,334160,334160,334160,334160,true,199456,199456,258887,258887,true,176319,176319,200312,200312,true,176319,176319,176319,176319,true,176319,176319,176319,176319,true,176319,176319,176319,176319
true,421020,421020,421020,421020,true,239292,239292,239292,239292,true,178980,178980,188256,188256,true,174352,174352,174352,174352,true,174352,174352,174352,174352,true,174352,174352,174352,174352
