BnB_BnB/1/finished,BnB_BnB/1,BnB_List/1,DP/1,DP_BnB/1,BnB_BnB/2/finished,BnB_BnB/2,BnB_List/2,DP/2,DP_BnB/2,BnB_BnB/3/finished,BnB_BnB/3,BnB_List/3,DP/3,DP_BnB/3,BnB_BnB/4/finished,BnB_BnB/4,BnB_List/4,DP/4,DP_BnB/4,BnB_BnB/5/finished,BnB_BnB/5,BnB_List/5,DP/5,DP_BnB/5,BnB_BnB/6/finished,BnB_BnB/6,BnB_List/6,DP/6,DP_BnB/6,BnB_BnB/7/finished,BnB_BnB/7,BnB_List/7,DP/7,DP_BnB/7
true,656572,656572,656572,656572,true,397424,397424,457268,457268,true,301207,301207,313475,313475,false,256678,275273,301207,301207,false,218092,218092,218092,218092,true,203911,203911,203911,203911,true,203911,203911,203911,203911
true,402714,402714,402714,402714,true,222395,222395,229950,229950,true,160260,166150,185205,185205,true,160260,160260,170355,170355,true,160260,160260,160260,160260,true,160260,160260,160260,160260,true,160260,160260,160260,160260
true,402410,402410,402410,402410,true,220518,222220,277293,277293,true,164120,175651,204605,204605,true,164120,164120,164120,164120,true,164120,164120,164120,164120,true,164120,164120,164120,164120,true,164120,164120,164120,164120
true,227760,227760,227760,227760,true,136168,136168,136590,136590,true,110022,110022,113102,113102,false,92304,92756,94516,94516,true,79296,79296,88176,88176,true,79296,79296,79296,79296,true,79296,79296,79296,79296
true,140225,140225,140225,140225,true,111360,115815,120060,120060,true,100602,100602,103840,103840,true,100602,100602,100602,100602,true,100602,100602,100602,100602,true,100602,100602,100602,100602,true,100602,100602,100602,100602
true,597246,597246,597246,597246,true,339625,339625,339625,339625,false,254214,254214,282541,282541,true,226785,226785,226785,226785,true,226785,226785,226785,226785,true,226785,226785,226785,226785,true,226785,226785,226785,226785
true,393633,393633,393633,393633,true,262287,262287,281889,281889,true,241474,241474,261076,261076,true,241474,241474,241474,241474,true,241474,241474,241474,241474,true,241474,241474,241474,241474,true,241474,241474,241474,241474
true,289720,289720,289720,289720,true,202848,205688,224912,224912,true,181621,181621,181621,181621,true,181621,181621,181621,181621,true,181621,181621,181621,181621,true,181621,181621,181621,181621,true,181621,181621,181621,181621
true,416140,416140,416140,416140,true,238740,242038,271855,271855,true,191540,194476,222368,222368,false,154491,154491,199810,199810,true,154491,154491,154491,154491,true,154491,154491,154491,154491,true,154491,154491,154491,154491
true,393324,393324,393324,393324,true,242172,242172,270300,270300,true,205653,205653,205653,205653,true,205653,205653,205653,205653,true,205653,205653,205653,205653,true,205653,205653,205653,205653,true,205653,205653,205653,205653
true,188640,188640,188640,188640,true,119886,119886,132600,132600,true,110392,110392,110392,110392,true,110392,110392,110392,110392,true,110392,110392,110392,110392,true,110392,110392,110392,110392,true,110392,110392,110392,110392
true,267197,267197,267197,267197,true,189371,189371,193396,193396,true,189371,189371,189371,189371,true,189371,189371,189371,189371,true,189371,189371,189371,189371,true,189371,189371,189371,189371,true,189371,189371,189371,189371
true,190512,190512,190512,190512,true,116676,116676,116676,116676,true,110047,110047,110047,110047,true,110047,110047,110047,110047,true,110047,110047,110047,110047,true,110047,110047,110047,110047,true,110047,110047,110047,110047
true,201900,201900,201900,201900,true,140655,140655,148523,148523,true,128400,128400,137434,137434,true,125041,125041,128400,128400,true,125041,125041,125041,125041,true,125041,125041,125041,125041,true,125041,125041,125041,125041
true,240865,240865,240865,240865,true,191390,191390,204630,204630,true,174505,174505,174505,174505,true,174505,174505,174505,174505,true,174505,174505,174505,174505,true,174505,174505,174505,174505,true,174505,174505,174505,174505
true,232182,232182,232182,232182,true,121290,128304,132294,132294,true,103188,103188,103188,103188,true,103188,103188,103188,103188,true,103188,103188,103188,103188,true,103188,103188,103188,103188,true,103188,103188,103188,103188
true,251853,251853,251853,251853,true,201390,201390,201390,201390,true,193872,193872,193872,193872,true,193872,193872,193872,193872,true,193872,193872,193872,193872,true,193872,193872,193872,193872,true,193872,193872,193872,193872
true,163060,163060,163060,163060,true,108608,108608,119119,119119,true,85270,85270,86690,86690,true,85270,85270,85270,85270,true,85270,85270,85270,85270,true,85270,85270,85270,85270,true,85270,85270,85270,85270
