BnB_BnB/1/finished,BnB_BnB/1,BnB_List/1,DP/1,DP_BnB/1,BnB_BnB/2/finished,BnB_BnB/2,BnB_List/2,DP/2,DP_BnB/2,BnB_BnB/3/finished,BnB_BnB/3,BnB_List/3,DP/3,DP_BnB/3,BnB_BnB/4/finished,BnB_BnB/4,BnB_List/4,DP/4,DP_BnB/4,BnB_BnB/5/finished,BnB_BnB/5,BnB_List/5,DP/5,DP_BnB/5,BnB_BnB/6/finished,BnB_BnB/6,BnB_List/6,DP/6,DP_BnB/6,BnB_BnB/7/finished,BnB_BnB/7,BnB_List/7,DP/7,DP_BnB/7,BnB_BnB/8/finished,BnB_BnB/8,BnB_List/8,DP/8,DP_BnB/8
true,627420,627420,627420,627420,true,391996,391996,391996,391996,true,340010,351092,381450,381450,false,279180,279180,285180,285180,true,272480,272480,279180,279180,true,272480,272480,272480,272480,true,272480,272480,272480,272480,true,272480,272480,272480,272480
true,1159872,1159872,1159872,1159872,true,604380,604380,670383,670383,false,471138,476106,549171,549171,false,408330,385770,466977,466977,false,354585,354585,369120,369120,false,328680,328680,347391,347391,true,328680,328680,328680,328680,true,328680,328680,328680,328680
true,246438,246438,246438,246438,true,148408,154666,163422,163422,false,115710,115710,124974,124974,true,115710,115710,115710,115710,true,115710,115710,115710,115710,true,115710,115710,115710,115710,true,115710,115710,115710,115710,true,115710,115710,115710,115710
true,325544,325544,325544,325544,true,197728,197728,259373,259373,true,181136,181136,195477,195477,true,181136,181136,181136,181136,true,181136,181136,181136,181136,true,181136,181136,181136,181136,true,181136,181136,181136,181136,true,181136,181136,181136,181136
true,622600,622600,622600,622600,true,399311,399311,458788,458788,true,339985,339985,364100,364100,false,290639,290639,312721,312721,true,290639,290639,290639,290639,true,290639,290639,290639,290639,true,290639,290639,290639,290639,true,290639,290639,290639,290639
true,791362,791362,791362,791362,true,422498,434956,488246,488246,false,328714,333720,345664,345664,true,270842,270842,278321,278321,true,270842,270842,270842,270842,true,270842,270842,270842,270842,true,270842,270842,270842,270842,true,270842,270842,270842,270842
true,766866,766866,766866,766866,true,415380,426719,440565,440565,false,324277,324277,353533,353533,true,301208,301208,318251,318251,true,301208,301208,301208,301208,true,301208,301208,301208,301208,true,301208,301208,301208,301208,true,301208,301208,301208,301208
true,274220,274220,274220,274220,true,198000,198000,220428,220428,true,156920,156920,186695,186695,true,135176,135176,156920,156920,true,135176,135176,135176,135176,true,135176,135176,135176,135176,true,135176,135176,135176,135176,true,135176,135176,135176,135176
true,293923,293923,293923,293923,true,148953,150339,178003,178003,true,107849,109613,113967,113967,true,107849,107849,107849,107849,true,107849,107849,107849,107849,true,107849,107849,107849,107849,true,107849,107849,107849,107849,true,107849,107849,107849,107849
true,209035,209035,209035,209035,true,131815,132625,133285,133285,true,130135,130135,130135,130135,true,130135,130135,130135,130135,true,130135,130135,130135,130135,true,130135,130135,130135,130135,true,130135,130135,130135,130135,true,130135,130135,130135,130135
true,398648,398648,398648,398648,true,266790,266790,293736,293736,true,240028,244398,262808,262808,true,240028,240028,244398,244398,true,240028,240028,240028,240028,true,240028,240028,240028,240028,true,240028,240028,240028,240028,true,240028,240028,240028,240028
true,241360,241360,241360,241360,true,121985,121985,131460,131460,true,82750,83075,104565,104565,false,73225,73225,74305,74305,false,68339,68339,73225,73225,false,58408,58408,58408,58408,true,58408,58408,58408,58408,true,58408,58408,58408,58408
true,444300,444300,444300,444300,true,253284,253284,253284,253284,false,209484,211684,216264,216264,true,209484,209484,210672,210672,true,209484,209484,209484,209484,true,209484,209484,209484,209484,true,209484,209484,209484,209484,true,209484,209484,209484,209484
true,220725,220725,220725,220725,true,213750,213750,213750,213750,true,213750,213750,213750,213750,true,213750,213750,213750,213750,true,213750,213750,213750,213750,true,213750,213750,213750,213750,true,213750,213750,213750,213750,true,213750,213750,213750,213750
true,886748,886748,886748,886748,true,483525,483966,518178,518178,true,345156,345156,345156,345156,false,309094,309094,330897,330897,true,292907,292907,322598,322598,true,292907,292907,292907,292907,true,292907,292907,292907,292907,true,292907,292907,292907,292907
true,192610,192610,192610,192610,true,101281,101281,110250,110250,true,76095,76095,84110,84110,false,63029,65446,73718,73718,true,62293,62293,62293,62293,true,62293,62293,62293,62293,true,62293,62293,62293,62293,true,62293,62293,62293,62293
true,297192,297192,297192,297192,true,157920,157920,157920,157920,true,156471,156471,156471,156471,true,156471,156471,156471,156471,true,156471,156471,156471,156471,true,156471,156471,156471,156471,true,156471,156471,156471,156471,true,156471,156471,156471,156471
true,345540,345540,345540,345540,true,179700,183530,187130,187130,true,126440,127240,159790,159790,true,119284,119284,119284,119284,true,119284,119284,119284,119284,true,119284,119284,119284,119284,true,119284,119284,119284,119284,true,119284,119284,119284,119284
true,299526,299526,299526,299526,true,233292,233292,263610,263610,true,224604,224604,235370,235370,true,224604,224604,225302,225302,true,224604,224604,224604,224604,true,224604,224604,224604,224604,true,224604,224604,224604,224604,true,224604,224604,224604,224604
